u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,service,junction,bridge,width,access,ref,tunnel,walkability
62486357,5236507870,0,8726316,residential,2,,Dorchester Road,False,True,122.28257566303618,,,,,,,,0.4056795175496325
62486503,6033029136,0,8734271,residential,2,,Long Shore Drive,False,False,8.72930601688115,,,,,,,,0.3842913561560515
62486505,9506676585,0,8722317,residential,2,25 mph,Wright Street,False,True,6.597580217784589,,,,,,,,0.45107084583846563
62486734,9236181724,0,8722344,residential,2,,Fulmer Street,False,True,8.588046296034127,,,,,,,,0.3855879459112468
62486922,12550217848,0,8722376,residential,2,,Bemidji Drive,False,False,6.55718694600885,,,,,,,,0.3906013681321428
62486939,62486933,0,8722376,residential,2,,Bemidji Drive,False,True,86.75735926905185,,,,,,,,0.46535650942370965
62487043,3913135734,0,8722393,residential,1,,Linden Street,False,False,8.284301021891526,,,,,,,,0.3916646966986838
62487043,3913135738,0,524953522,secondary,2,25 mph,Geddes Avenue,False,False,8.189340193054543,,,,,,,,0.41325393147797984
62487134,9849379648,0,"[1073726552, 1073726553]",footway,,,,False,True,10.36118767267645,,,,,,,,0.40820981173781434
62487154,9849379657,0,8722408,residential,2,,Oak Hills Drive,False,True,97.18470000465992,,,,,,,,0.41325393147797984
62487280,5639808242,0,8722423,residential,2,,Montclair Place,False,False,140.87730772202394,,,,,,,,0.4048963933643049
62487340,5963163088,0,8724363,residential,2,,Arbordale Street,False,True,8.740925135837802,,,,,,,,0.5015017544528966
62487351,5964921396,0,8727129,residential,2,,Marvin Gardens,False,True,9.230967171521781,,,,,,,,0.40487504641774397
62487420,5299489591,0,548569491,footway,,,,False,True,123.16689434620903,,,,,,,,0.4371515447544187
62487567,4563158471,0,8722461,residential,1,,North Thayer Street,False,True,8.319735230272972,,,,,,,,0.5015017544528966
62487611,7351669931,0,8722470,residential,2,,Kuehnle Court,False,True,61.123788901843355,,,,,,,,0.39044950557092384
62487712,4931641862,0,8729001,residential,2,,Willow Street,False,False,8.811862087102504,,,,,,,,0.38505406488508087
62487949,7352692195,0,621754228,residential,1,25 mph,West Sequoia Parkway,False,True,8.324992815582688,,,,,,,,0.3907952921608759
62487966,7352412216,0,621754228,residential,1,25 mph,West Sequoia Parkway,False,True,5.651652158201888,,,,,,,,0.39044950557092384
62487966,7352692205,0,621754228,residential,1,25 mph,West Sequoia Parkway,False,False,149.36504342363554,,,,,,,,0.3861452720138048
62487971,7352412281,0,621754228,residential,1,25 mph,West Sequoia Parkway,False,False,6.037395021717185,,,,,,,,0.3907952921608759
62487981,7351669948,0,8722522,residential,1,25 mph,West Sequoia Parkway,False,False,8.120099269594657,,,,,,,,0.3959680875535592
62487981,62495292,0,8729389,residential,2,,Patricia Avenue,False,True,21.717903469469,,,,,,,,0.4507126418031774
